animal,country,id,path,value,x,y
connection,Saudi Arabia,Saudi Arabia,1,0.16999999999999998,0.16455771517599627,0.7163419283945731
connection,Saudi Arabia,Saudi Arabia,2,0.16999999999999998,0.16315753093584107,0.7120732533664369
connection,Saudi Arabia,Saudi Arabia,3,0.16999999999999998,0.16156873994373644,0.7078474172416738
connection,Saudi Arabia,Saudi Arabia,4,0.16999999999999998,0.1597111215486533,0.703682126346115
connection,Saudi Arabia,Saudi Arabia,5,0.16999999999999998,0.15748194842090313,0.699599452808755
connection,Saudi Arabia,Saudi Arabia,6,0.16999999999999998,0.1547623193058163,0.6956237430077441
connection,Saudi Arabia,Saudi Arabia,7,0.16999999999999998,0.15143816958047096,0.6917760364975307
connection,Saudi Arabia,Saudi Arabia,8,0.16999999999999998,0.14744169588114397,0.6880642516943722
connection,Saudi Arabia,Saudi Arabia,9,0.16999999999999998,0.14280790641926178,0.6844715202073428
connection,Saudi Arabia,Saudi Arabia,10,0.16999999999999998,0.13771897963474844,0.6809498971486501
connection,Saudi Arabia,Saudi Arabia,11,0.16999999999999998,0.13249378812314294,0.6774279469106617
connection,Saudi Arabia,Saudi Arabia,12,0.16999999999999998,0.1275033401433816,0.6738323979064433
connection,Saudi Arabia,Saudi Arabia,13,0.16999999999999998,0.1230524633261516,0.670111405853919
connection,Saudi Arabia,Saudi Arabia,14,0.16999999999999998,0.11930085109426303,0.6662451068377524
connection,Saudi Arabia,Saudi Arabia,15,0.16999999999999998,0.1162599936586004,0.6622408228909715
connection,Saudi Arabia,Saudi Arabia,16,0.16999999999999998,0.11384282450885719,0.6581209545434872
connection,Saudi Arabia,Saudi Arabia,17,0.16999999999999998,0.11192215334941302,0.653912015996359
connection,Saudi Arabia,Saudi Arabia,18,0.16999999999999998,0.11037151647047838,0.6496381782969944
connection,Saudi Arabia,Saudi Arabia,19,0.16999999999999998,0.10908463389215761,0.6453187940643863
connection,Saudi Arabia,Saudi Arabia,20,0.16999999999999998,0.10798019579474771,0.6409682342488807
connection,Türkiye,Türkiye,1,0.06999999999999995,0.30114716230555594,0.6704740014611388
connection,Türkiye,Türkiye,2,0.06999999999999995,0.30001798220663045,0.6689616647967358
connection,Türkiye,Türkiye,3,0.06999999999999995,0.29870817545000916,0.6675299318029451
connection,Türkiye,Türkiye,4,0.06999999999999995,0.2971396872384029,0.6662130756924114
connection,Türkiye,Türkiye,5,0.06999999999999995,0.2952117539221635,0.665054685742188
connection,Türkiye,Türkiye,6,0.06999999999999995,0.2928063746723202,0.6641045001067649
connection,Türkiye,Türkiye,7,0.06999999999999995,0.28980792078030637,0.6634087437596545
connection,Türkiye,Türkiye,8,0.06999999999999995,0.28614288485799166,0.6629919007993075
connection,Türkiye,Türkiye,9,0.06999999999999995,0.2818354536796708,0.6628331567368011
connection,Türkiye,Türkiye,10,0.06999999999999995,0.2770531015002715,0.6628502001307282
connection,Türkiye,Türkiye,11,0.06999999999999995,0.27210025807906657,0.6629078649140765
connection,Türkiye,Türkiye,12,0.06999999999999995,0.2673390052836313,0.662856402033323
connection,Türkiye,Türkiye,13,0.06999999999999995,0.263073610795179,0.6625791885656847
